Transcript,Length,Effective Length,Expected Counts,TPM
ENST00000410108,637,438,92.784037615154,211835.70231770322
ENST00000325147,2916,2717,624.6573526404281,229907.0123814605
ENST00000382762,2792,2593,971.3535049868817,374606.05668603233
ENST00000529614,560,361,2.3558199879017654e-15,6.5258171410021205e-12
ENST00000332865,533,334,5.220809415166832e-15,1.563116591367315e-11
ENST00000486280,665,466,1.205104757518198,2586.0617114124416
ENST00000342878,435,236,0.0,0.0
ENST00000325113,1284,1085,0.0,0.0
ENST00000525282,764,565,0.0,0.0
ENST00000526104,3506,3307,1877.0960693284728,567612.9632078841
ENST00000325207,2702,2503,49.72349515451605,19865.559390537772
ENST00000528357,500,301,6.116889235000484e-16,2.032189114618101e-12
ENST00000526982,965,766,7.914086180245236e-09,1.0331705196142607e-05
ENST00000530889,563,364,4.334167767025671e-14,1.190705430501558e-10
ENST00000626818,159,1,1.6049931378584242e-60,1.604993137858424e-54
ENST00000527696,2565,2366,243.42920882677953,102886.39426322043
ENST00000527468,571,372,2.740700454360777e-12,7.367474339679508e-09
ENST00000527728,859,660,1.0281622112974116e-10,1.5578215322688054e-07
ENST00000524854,649,450,13.464608391579352,29921.35198128745
ENST00000529275,440,241,2.2866182906194563,9488.042699665795
ENST00000382743,2882,2683,398.77103046544505,148628.7851157082
ENST00000529937,2627,2428,11.487529648432188,4731.2725075915105
ENST00000532837,1588,1389,36.84168372893165,26523.890373600898
ENST00000525319,1475,1276,0.1489896667108081,116.76306168558628
ENST00000524564,1395,1196,5.2932087157213115,4425.7597957536045
ENST00000532956,1235,1036,4.407926746282758,4254.755546604979
ENST00000529382,1225,1026,1.098833955724447,1070.988260940007
ENST00000526854,785,586,1.4796071978954675,2524.9269588659854
ENST00000529055,779,580,1.9528776056280037,3367.0303545310408
ENST00000530067,681,482,5.977755540868982e-07,0.0012401982449935648
ENST00000528469,763,564,9.585919306302976,16996.31082677833
ENST00000525776,365,166,5.505488993672191,33165.59634742284
ENST00000525237,430,231,3.877936663903036e-17,1.678760460564085e-13
ENST00000529372,612,413,1.5016260899570322e-07,0.0003635898522898383
ENST00000532097,1589,1390,2195.758858814012,1579682.6322402963
ENST00000431206,1591,1392,69.26176641839734,49757.01610517051
ENST00000528906,858,659,0.0001757883538300468,0.2667501575569754
ENST00000525665,1632,1433,488.90850002602923,341178.297296601
ENST00000352303,1427,1228,125.78416996734006,102430.10583659615
ENST00000382671,1489,1290,201.10331124851524,155894.0397275312
ENST00000526783,892,693,2.183217587241214,3150.3861287752
ENST00000534750,2923,2724,1.9999995231628418,734.214215551704
ENST00000312165,2679,2480,4.76837158203125e-07,0.00019227304766255041
ENST00000409548,3699,3500,615.6341187043627,175895.46248696075
ENST00000409655,2963,2764,93.61891199993939,33870.80752530369
ENST00000409479,3062,2863,197.56927798571053,69007.78134324503
ENST00000482937,734,535,5.364666229983622e-13,1.0027413513988077e-09
ENST00000397660,578,379,1.1776913099870354,3107.364934002732
ENST00000382614,736,537,1.0,1862.1973929236499
ENST00000681810,238,39,2.7596581181097082e-11,7.07604645669156e-07
ENST00000681914,238,39,2.8596990422504532e-11,7.332561646796034e-07
ENST00000680081,238,39,1.3179681693525018e-11,3.3794055624423123e-07
ENST00000679962,238,39,9.650318024519958e-12,2.4744405191076813e-07
ENST00000681900,236,37,2.8596990422504532e-11,7.728916330406631e-07
ENST00000681276,240,41,2.479111514526143e-11,6.046613450063763e-07
ENST00000533141,588,389,5.804924260879983,14922.68447526988
ENST00000616316,1006,807,2144.7858359131656,2657727.182048532
ENST00000399817,713,514,285.00746618669353,554489.233826252
ENST00000680197,603,404,169.5810762695631,419755.1392810968
ENST00000680344,685,486,85.94006356451584,176831.40651134946
ENST00000680619,439,240,0.0001697186509596685,0.7071610456652854
ENST00000681833,665,466,15.529133354687549,33324.32050362135
ENST00000680261,660,461,11.23138316741034,24363.087131041953
ENST00000602569,556,357,2.6897766651229054,7534.3884177112195
ENST00000527146,634,435,0.12052872790677807,277.07753541788065
ENST00000681211,315,116,6.58647240577272e-06,0.056779934532523446
ENST00000399815,382,183,0.0010672230505430098,5.831819948322458
ENST00000680299,634,435,30.84847341515012,70916.03083942556
ENST00000679353,488,289,6.158913443327228e-06,0.021311119181063074
ENST00000679982,631,432,28.89079065353681,66876.8302165204
ENST00000681350,324,125,4.801000866428146e-10,3.840800693142517e-06
ENST00000680855,467,268,0.0022751709066945068,8.48944368169592
ENST00000680588,841,642,2149.2464276502524,3347735.8686141004
ENST00000680310,387,188,5.924720768614179,31514.472173479677
ENST00000681702,390,191,5.981379474845768,31316.122904951662
ENST00000681111,225,26,7.226801743441646e-10,2.7795391320929407e-05
ENST00000680342,392,193,9.537044170333129e-05,0.49414736633850403
ENST00000680870,387,188,5.273676066414827e-06,0.028051468438376737
ENST00000680802,390,191,5.276026186539771e-06,0.027623173751517127
ENST00000528780,730,531,83.07344041038732,156447.1570817087
